Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating,HouseAge,PricePerSqFt,SizeCategory
221958,1,1.9,4827,1979,2.0,1.45,82240,48.6,5.0,45,45.98259788688627,Extra Large
771155,2,2.0,1035,1987,2.0,1.75,74315,92.03,9.0,37,745.0772946859903,Small
231932,1,3.0,2769,1982,1.0,1.46,79249,52.08,3.0,42,83.76020223907548,Medium
465838,3,3.3,2708,1907,3.0,1.62,80587,61.65,1.0,117,172.0228951255539,Medium
359178,4,3.4,1175,1994,2.0,0.74,20756,15.66,4.0,30,305.68340425531915,Small
744167,1,3.4,4330,1920,0.0,1.65,78011,4.37,9.0,104,171.86304849884527,Large
210268,1,1.3,3435,1980,2.0,0.25,46378,11.08,4.0,44,61.21339155749636,Large
832180,2,2.5,2370,1986,0.0,1.8,14255,59.85,2.0,38,351.1308016877637,Medium
154886,2,1.2,3360,2000,1.0,1.14,24484,9.5,5.0,24,46.09702380952381,Large
237337,3,2.6,4191,2017,0.0,1.65,66549,37.6,3.0,7,56.63015986638034,Large
621430,4,2.3,3765,1979,2.0,0.96,44503,55.01,9.0,45,165.05444887118193,Large
187498,2,3.7,4443,1969,2.0,1.32,83794,38.87,4.0,55,42.20076524870583,Large
999159,1,2.1,4650,1971,2.0,1.1,55113,16.37,6.0,53,214.87290322580645,Extra Large
275203,4,1.4,1672,1924,1.0,1.49,84069,27.38,2.0,100,164.5950956937799,Medium
291335,4,1.4,2052,1981,1.0,0.26,15249,92.83,6.0,43,141.9761208576998,Medium
378167,1,3.3,2114,1988,3.0,0.21,29201,67.6,3.0,36,178.88694418164616,Medium
141090,2,2.9,3698,1911,2.0,0.57,68576,49.6,9.0,113,38.15305570578691,Large
429365,1,1.3,877,1914,0.0,0.4,19686,1.27,2.0,110,489.5838084378563,Small
164820,4,1.3,3421,1958,1.0,1.76,63363,99.24,9.0,66,48.178895059923995,Large
887201,5,3.1,1400,1925,2.0,0.52,10661,67.15,5.0,99,633.715,Small
421879,5,1.2,1865,2004,2.0,1.95,54843,31.69,8.0,20,226.20857908847185,Medium
818315,3,3.5,2936,2008,1.0,0.74,70963,87.93,2.0,16,278.7176430517711,Medium
427069,1,3.1,3249,1925,3.0,0.45,52828,25.84,6.0,99,131.44629116651276,Large
876997,1,1.2,3143,1946,1.0,1.6,58604,54.4,3.0,78,279.03181673560294,Large
299041,3,1.3,2663,1931,1.0,1.35,20526,63.61,5.0,93,112.29478032294405,Medium
891743,3,4.0,2118,1909,0.0,1.05,78910,22.11,8.0,115,421.0306893295562,Medium
203355,3,2.1,4397,1915,0.0,1.16,35592,97.84,1.0,109,46.24857857630202,Large
335796,4,2.1,4562,1970,3.0,1.47,38982,74.82,5.0,54,73.60718982902236,Extra Large
314176,1,3.4,2990,1916,2.0,0.53,10207,55.78,3.0,108,105.07558528428093,Medium
284779,4,3.8,1792,1922,1.0,1.99,98733,18.06,4.0,102,158.91685267857142,Medium
447449,3,4.0,3512,1925,3.0,1.95,78619,5.39,2.0,99,127.40575170842824,Large
521909,1,3.3,2992,1984,0.0,1.34,39328,32.01,9.0,40,174.43482620320856,Medium
358795,4,2.1,2048,1985,1.0,0.48,56479,75.32,3.0,39,175.19287109375,Medium
586232,4,1.3,3854,2021,2.0,1.39,30103,26.93,2.0,3,152.11001556824078,Large
600186,3,3.3,4833,1906,0.0,0.24,49891,53.96,9.0,118,124.18497827436374,Extra Large
256730,1,2.7,2797,1913,0.0,0.16,20754,72.79,7.0,111,91.78762960314623,Medium
970910,3,2.3,4487,1978,0.0,0.59,91437,10.79,6.0,46,216.38288388678404,Large
